Date,Gold,Platinum
1986-12,391.595,465.29
1987-12,487.079,556.63
1988-12,419.248,530.29
1989-12,409.655,509.68
1990-12,378.161,471.29
1991-12,361.875,376.11
1992-12,334.657,360.02
1993-12,383.243,374.54
1994-12,379.48,405.6
1995-12,387.445,424.59
1996-12,369.338,397.26
1997-12,288.776,395.19
1998-12,291.357,371.82
1999-12,283.743,377.2
2000-12,271.892,544.42
2001-12,275.992,528.26
2002-12,333.3,539.99
2003-12,407.674,692.03
2004-12,442.974,854.83
2005-12,509.423,896.92
2006-12,629.513,1142.4
2007-12,803.618,1306.22
2008-12,819.94,1571.04
2009-12,1135.012,1205.79
2010-12,1393.512,1611.51
2011-12,1652.725,1719.03
2012-12,1687.342,1550.98
2013-12,1221.588,1484.73
2014-12,1200.44,1383.62
2015-12,1068.317,1050.61
2016-12,1152.165,988.9
2017-12,1265.674,950.49
2018-12,1249.887,882.18
2019-12,1480.025,868.04